company_name,round_date,has_multiple,revenue_basis,transaction_type
"Replit",Sep-25,yes,ARR_RUNRATE,PRIMARY
"Restore Hyper Wellness",Dec-21,yes,GROSS_REVENUE,PRIMARY
"Revolut",Aug-24,yes,GROSS_REVENUE,PRIMARY
"Revolut",Jul-21,yes,GROSS_REVENUE,PRIMARY
"Revolut",Nov-23,yes,GROSS_REVENUE,PRIMARY
"Revolut",Nov-25,yes,GROSS_REVENUE,PRIMARY
"Rippling",Apr-24,yes,ARR,SECONDARY
"Ro",Mar-21,yes,GROSS_REVENUE,PRIMARY
"Roblox",Jan-21,yes,GROSS_REVENUE,PRIMARY
"Rokt",Dec-22,no,NONE,SECONDARY
"Rokt",Jan-25,no,GROSS_REVENUE,SECONDARY
"SHEIN",Apr-22,no,NONE,PRIMARY
"SHEIN",Jan-24,yes,NET_REVENUE,SECONDARY
"SHEIN",May-23,yes,NET_REVENUE,PRIMARY
"SKIMS",Jul-23,yes,NET_REVENUE,PRIMARY
"SKIMS",Nov-25,yes,NET_REVENUE,PRIMARY
"Salesloft",Apr-19,yes,ARR,PRIMARY
"Salesloft",Dec-21,yes,ARR,CONTROL
"Savage X Fenty",Feb-21,yes,NET_REVENUE,PRIMARY
"Scale AI",Jun-25,yes,NET_REVENUE,CONTROL
"Scale AI",May-24,yes,ARR,MIXED
"Semrush",Nov-25,yes,NET_REVENUE,CONTROL
"Shiprocket",Aug-22,yes,GROSS_REVENUE,PRIMARY
"Sierra",May-26,yes,ARR,PRIMARY
"Sierra",Sep-25,yes,ARR_RUNRATE,PRIMARY
"Snyk",Dec-22,yes,ARR,PRIMARY
"Spendesk",Jan-22,yes,ARR,PRIMARY
"Starling Bank",Mar-21,yes,ARR_RUNRATE,PRIMARY
"Stenn",Apr-22,no,NONE,PRIMARY
"StockX",Apr-21,yes,GROSS_REVENUE,MIXED
"Strava",May-25,yes,ARR,PRIMARY
"Stripe",Feb-24,yes,NET_REVENUE,PRIMARY
"Stripe",Feb-25,yes,NET_REVENUE,PRIMARY
"Stripe",Mar-23,yes,NET_REVENUE,PRIMARY
"SumUp",Dec-23,yes,GROSS_REVENUE,PRIMARY
"SumUp",Jun-22,yes,ARR_RUNRATE,PRIMARY
"Supabase",Oct-25,yes,ARR_RUNRATE,PRIMARY
"Tabby",Feb-25,no,NONE,PRIMARY
"Tabby",Nov-23,no,NONE,PRIMARY
"Tala",Aug-19,no,NONE,PRIMARY
"Tala",Oct-21,no,NONE,PRIMARY
"The Zebra",Apr-21,yes,ARR_RUNRATE,PRIMARY
"Thirty Madison",Jun-21,yes,ARR_RUNRATE,PRIMARY
"Thrasio",Jul-20,no,NET_REVENUE,PRIMARY
"Thrasio",Oct-21,no,NET_REVENUE,PRIMARY
"Tipalti",Dec-21,no,NONE,PRIMARY
"TravelPerk",Jan-24,no,NONE,PRIMARY
"Trendyol",Aug-21,no,NONE,PRIMARY
"Turing",Mar-25,yes,ARR,PRIMARY
"Upgrade",Aug-21,yes,ARR_RUNRATE,PRIMARY
"Upgrade",Nov-21,no,NONE,PRIMARY
"Vanta",Jul-24,yes,ARR,PRIMARY
"Vedantu",Sep-21,yes,ARR_RUNRATE,PRIMARY
"Vegrow",Dec-23,yes,GROSS_REVENUE,PRIMARY
"Vercel",May-24,yes,ARR_RUNRATE,PRIMARY
"Vestiaire Collective",Sep-21,no,NONE,PRIMARY
"Vinted",Apr-26,yes,NET_REVENUE,SECONDARY
"Vinted",May-21,no,NONE,PRIMARY
"Vinted",Oct-24,yes,NET_REVENUE,SECONDARY
"Virta Health",Apr-21,yes,GROSS_REVENUE,PRIMARY
"Voodoo",Aug-21,yes,GROSS_REVENUE,PRIMARY
"Vuori",Nov-24,no,NONE,SECONDARY
"Vuori",Oct-21,no,NONE,SECONDARY
"WHOOP",Mar-26,yes,ARR_RUNRATE,PRIMARY
"WayCool Foods",Jun-22,yes,GROSS_REVENUE,PRIMARY
"Wayflyer",Feb-22,no,NONE,PRIMARY
"Wefox",Jul-22,yes,GROSS_REVENUE,PRIMARY
"Weights & Biases",Mar-25,no,NONE,CONTROL
"Whatnot",Aug-26,no,NONE,PRIMARY
"Whatnot",Jan-25,no,,PRIMARY
"Whatnot",Jul-22,no,NONE,PRIMARY
"Whatnot",Oct-25,no,NONE,MIXED
"Wiz",Mar-26,no,ARR,CONTROL
"Wiz",May-24,yes,ARR,MIXED
"Wolt",Nov-21,yes,NET_REVENUE,CONTROL
"Writer",Nov-24,yes,ARR,PRIMARY
"Writer",Sep-23,yes,ARR,PRIMARY
"Xpansiv",Jul-22,no,NONE,PRIMARY
"Xpressbees",Feb-22,yes,NET_REVENUE,PRIMARY
"Yotpo",Mar-21,yes,ARR,PRIMARY
"Zepz",Aug-21,yes,GROSS_REVENUE,PRIMARY
"Zepz",Oct-24,yes,NET_REVENUE,PRIMARY
"Zilch",Nov-21,no,NONE,PRIMARY
"Zopa",Oct-21,yes,ARR_RUNRATE,PRIMARY
"dLocal",Apr-21,yes,NET_REVENUE,PRIMARY
"dbt Labs",Feb-22,no,NONE,PRIMARY
"upGrad",Aug-21,yes,ARR_RUNRATE,PRIMARY
"wefox",May-21,yes,GROSS_REVENUE,PRIMARY
